open_time,open,high,low,close,volume,rsi,ema50,macd,macd_signal,macd_hist
2024-06-14 05:33:00,66908.0,66908.0,66893.15,66897.41,13.13285,74.24103003745246,66799.38544535337,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:34:00,66897.41,66927.43,66897.4,66920.01,20.19676,77.47363125529418,66804.1158200454,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:35:00,66920.01,66936.0,66904.0,66936.0,14.50055,79.439613626476,66809.28774867106,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:36:00,66936.0,66954.11,66935.99,66954.11,8.69577,81.41768895194015,66814.96705264474,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:37:00,66954.11,67150.0,66954.11,67117.44,76.625,90.39387646420585,66826.82873685475,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:38:00,67117.43,67128.24,67100.0,67114.45,27.19819,89.54115967218377,66838.10800207613,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:39:00,67114.46,67126.56,67053.29,67063.42,25.26874,76.31030090322243,66846.9437667006,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:40:00,67063.42,67063.42,66992.0,66993.24,15.42044,62.608669697036376,66852.68087388882,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:41:00,66993.24,67043.22,66993.23,66999.25,30.88521,63.217748118301465,66858.42868275593,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:42:00,66999.25,67054.72,66987.46,67050.07,30.8499,67.96909157038768,66865.9440285302,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:43:00,67050.06,67088.0,67050.06,67088.0,11.18348,70.98195298783955,66874.65210584273,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:44:00,67088.0,67128.0,67087.99,67100.0,12.05773,71.88302918364012,66883.48927816263,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:45:00,67100.01,67167.76,67082.07,67167.76,28.00468,76.34903285986897,66894.63714960722,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:46:00,67167.75,67221.32,67144.54,67200.01,65.01762,78.1295617958443,66906.61255550498,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:47:00,67200.01,67210.73,67096.0,67096.01,48.01492,61.93631905486639,66914.03990626949,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:48:00,67096.01,67156.39,67096.01,67106.58,7.60859,62.780651609522586,66921.59049818049,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:49:00,67106.58,67121.72,67106.57,67108.29,6.93156,62.9239370843003,66928.91204727146,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:50:00,67108.28,67108.29,67053.73,67053.74,10.24773,55.5739287825566,66933.80726110395,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
